mean,stdev,numobs
27.84,20.707647,25.0
19.4,16.0,25.0
23.28,19.020866,25.0
26.84,20.50951,25.0
26.56,20.192986,25.0
25.32,18.384142,25.0
21.6,16.869598,25.0
24.8,21.39704,25.0
23.32,19.644169,25.0
23.72,14.222986,25.0
26.84,21.44893,25.0
30.76,18.462303,25.0
25.36,17.885935,25.0
26.44,18.207325,25.0
23.08,19.148369,25.0
23.64,18.75251,25.0
27.16,16.321459,25.0
21.32,14.343175,25.0
28.52,19.583412,25.0
15.04,17.77517,25.0
19.24,18.106813,25.0
27.32,19.119623,25.0
28.04,22.902838,25.0
24.44,18.36455,25.0
26.0,12.919623,25.0
25.92,17.320316,25.0
27.08,21.470755,25.0
22.56,18.296356,25.0
24.24,16.17941,25.0
19.0,13.228757,25.0
24.4,21.63716,25.0
16.96,13.154467,25.0
26.28,19.940578,25.0
22.52,20.422863,25.0
28.56,22.679066,25.0
22.16,19.656805,25.0
25.0,15.542952,25.0
16.0,16.57307,25.0
22.04,16.642015,25.0
24.52,13.7511215,25.0
23.6,18.046236,25.0
21.64,16.033506,25.0
20.0,14.27994,25.0
26.72,21.655485,25.0
24.2,16.943533,25.0
17.72,13.436642,25.0
23.36,20.59911,25.0
22.16,15.574231,25.0
18.16,18.785366,25.0
17.44,12.362847,25.0
32.68,22.61585,25.0
27.08,13.735355,25.0
18.88,12.689629,25.0
20.4,17.561796,25.0
28.64,19.7355,25.0
22.24,16.956512,25.0
21.96,19.681803,25.0
23.2,16.755596,25.0
24.12,19.622097,25.0
23.4,15.771811,25.0
15.72,15.896855,25.0
33.44,25.306587,25.0
27.68,18.406792,25.0
26.08,22.976292,25.0
23.0,15.903354,25.0
24.6,19.416489,25.0
23.44,14.06556,25.0
27.6,21.463146,25.0
22.76,20.376211,25.0
23.92,19.302244,25.0
18.56,20.302052,25.0
25.12,20.767202,25.0
23.0,16.67833,25.0
22.44,16.196913,25.0
30.8,20.45116,25.0
20.56,18.53618,25.0
24.2,19.446508,25.0
24.28,19.692469,25.0
23.52,17.953922,25.0
14.6,13.829317,25.0
30.68,21.42374,25.0
21.04,15.254726,25.0
24.76,16.05532,25.0
26.16,18.997105,25.0
22.88,20.561533,25.0
21.04,17.384092,25.0
24.12,21.59151,25.0
20.68,17.499332,25.0
23.72,19.550192,25.0
16.64,12.41934,25.0
31.2,21.476732,25.0
23.56,18.81728,25.0
24.64,20.513979,25.0
27.64,22.501629,25.0
23.24,18.954508,25.0
26.6,24.300205,25.0
26.04,23.226206,25.0
25.28,17.479797,25.0
18.44,13.994285,25.0
23.8,15.903354,25.0
