year,q,k,l,lnq,lnk,lnl
1899,100,100,100,4.6051702,4.6051702,4.6051702
1900,101,107,105,4.6151204,4.6728287,4.65396
1901,112,114,110,4.7184987,4.7361984,4.7004805
1902,122,122,118,4.804021,4.804021,4.7706847
1903,124,131,123,4.8202815,4.8751974,4.8121843
1904,122,138,116,4.804021,4.9272537,4.75359
1905,143,149,125,4.962845,5.0039463,4.828314
1906,152,163,133,5.0238805,5.09375,4.890349
1907,151,176,138,5.0172796,5.170484,4.9272537
1908,126,185,121,4.836282,5.220356,4.7957907
1909,155,198,140,5.043425,5.288267,4.9416423
1910,159,208,144,5.0689044,5.3375382,4.9698133
1911,153,216,145,5.030438,5.3752785,4.9767337
1912,177,226,152,5.17615,5.420535,5.0238805
1913,184,236,154,5.214936,5.463832,5.0369525
1914,169,244,149,5.1298985,5.497168,5.0039463
1915,189,266,154,5.241747,5.583496,5.0369525
1916,225,298,182,5.4161005,5.6970935,5.2040067
1917,227,335,196,5.42495,5.8141303,5.278115
1918,223,366,200,5.4071717,5.902633,5.2983174
1919,218,387,193,5.3844953,5.9584246,5.26269
1920,231,407,193,5.4424176,6.0088134,5.26269
1921,179,417,147,5.187386,6.0330863,4.9904327
1922,240,431,161,5.480639,6.066108,5.081404
