state,cases,voterep,falltemp
Alabama,28.3,62,63.7
Alaska,60.8,51,26.7
Arizona,23.2,49,61.3
Arkansas,41.7,61,61.4
California,14.4,32,60.9
Colorado,52.7,43,45.9
Connecticut,27.7,41,51.2
Delaware,21.7,42,57.4
Florida,24.3,49,72.7
Georgia,22.8,51,64.6
Hawaii,7.9,30,71.8
Idaho,63.5,59,44.8
Illinois,72.3,39,53.8
Indiana,60.1,57,53.8
Iowa,110.9,51,49.8
Kansas,63.7,57,55.4
Kentucky,40.3,63,57.0
Louisiana,16.2,58,67.4
Maine,10.4,45,44.2
Maryland,18.5,34,56.1
Massachusetts,24.2,33,50.3
Michigan,45.2,48,47.3
Minnesota,76.5,45,43.5
Mississippi,29.7,58,64.2
Missouri,56.9,57,56.0
Montana,82.7,56,43.0
Nebraska,90.9,59,49.5
Nevada,40.4,46,50.2
New Hampshire,13.4,47,46.3
New Jersey,24.1,41,54.8
New Mexico,52.1,40,53.8
New York,14.2,37,48.1
North Carolina,22.8,50,60.2
North Dakota,173.6,63,42.0
Ohio,38.2,52,52.9
Oklahoma,52.1,65,60.6
Oregon,17.0,39,48.9
Pennsylvania,23.1,48,50.9
Rhode Island,47.3,39,53.1
South Carolina,21.3,55,63.4
South Dakota,130.5,62,46.4
Tennessee,40.6,61,58.6
Texas,29.0,52,65.5
Utah,71.8,46,49.1
Vermont,4.5,30,45.7
Virginia,16.4,44,56.5
Washington,12.8,37,48.5
West Virginia,28.1,69,53.3
Wisconsin,99.3,47,45.7
Wyoming,88.5,67,42.5
