earnings,education,age,gender
38000,12,30,1.0
40000,14,30,1.0
30000,12,30,1.0
20000,12,30,1.0
47000,16,30,1.0
89000,13,30,1.0
20000,12,30,1.0
77000,18,30,1.0
19000,9,30,1.0
62000,12,30,1.0
32000,13,30,1.0
24000,11,30,1.0
60000,16,30,1.0
50000,20,30,1.0
75000,16,30,1.0
17800,7,30,1.0
100000,12,30,1.0
30000,13,30,1.0
50000,10,30,1.0
90000,18,30,1.0
45000,13,30,1.0
40000,16,30,1.0
35000,16,30,1.0
44000,16,30,1.0
68000,12,30,1.0
22000,3,30,1.0
37000,12,30,1.0
36000,12,30,1.0
30000,12,30,1.0
20000,12,30,1.0
39000,13,30,1.0
30000,12,30,1.0
65000,12,30,1.0
65000,16,30,1.0
56000,18,30,1.0
170000,18,30,1.0
60000,13,30,1.0
25000,12,30,1.0
40000,12,30,1.0
41000,16,30,1.0
38000,13,30,1.0
14000,13,30,1.0
75000,13,30,1.0
10000,6,30,1.0
24000,12,30,1.0
30000,12,30,1.0
70000,18,30,1.0
72000,13,30,1.0
40000,12,30,1.0
27000,12,30,1.0
28500,13,30,1.0
68000,16,30,1.0
26000,12,30,1.0
28000,12,30,1.0
38000,13,30,1.0
81000,14,30,1.0
30000,13,30,1.0
25000,14,30,1.0
75000,13,30,1.0
65000,16,30,1.0
40000,16,30,1.0
50000,18,30,1.0
24000,13,30,1.0
75000,14,30,1.0
30000,6,30,1.0
30000,13,30,1.0
17000,0,30,1.0
75000,16,30,1.0
44000,13,30,1.0
15600,12,30,1.0
15000,12,30,1.0
22800,13,30,1.0
24000,13,30,1.0
22000,13,30,1.0
30000,16,30,1.0
9600,12,30,1.0
50000,12,30,1.0
24000,12,30,1.0
30000,12,30,1.0
39400,16,30,1.0
92000,18,30,1.0
25000,14,30,1.0
29300,13,30,1.0
31000,16,30,1.0
75000,12,30,1.0
81000,18,30,1.0
45000,14,30,1.0
21000,12,30,1.0
11000,16,30,1.0
43000,12,30,1.0
86000,18,30,1.0
42000,12,30,1.0
53000,13,30,1.0
80000,16,30,1.0
50000,16,30,1.0
60000,16,30,1.0
22900,14,30,1.0
85000,16,30,1.0
242000,16,30,1.0
21000,16,30,1.0
96000,18,30,1.0
38000,14,30,1.0
25000,13,30,1.0
15000,16,30,1.0
38000,20,30,1.0
45000,16,30,1.0
30000,12,30,1.0
18000,12,30,1.0
70000,16,30,1.0
70000,16,30,1.0
15000,12,30,1.0
60000,16,30,1.0
125000,18,30,1.0
26000,14,30,1.0
30000,12,30,1.0
90000,16,30,1.0
79300,18,30,1.0
86000,18,30,1.0
498000,16,30,1.0
220000,16,30,1.0
47000,14,30,1.0
498000,16,30,1.0
40000,12,30,1.0
498000,18,30,1.0
1,12,30,1.0
48000,18,30,1.0
48000,12,30,1.0
27800,12,30,1.0
55000,12,30,1.0
34000,12,30,1.0
57000,14,30,1.0
14000,13,30,1.0
37000,13,30,1.0
30000,13,30,1.0
43000,16,30,1.0
13000,11,30,1.0
36000,18,30,1.0
29000,12,30,1.0
57700,13,30,1.0
8000,11,30,1.0
34000,13,30,1.0
70000,16,30,1.0
35000,12,30,1.0
13000,16,30,1.0
32000,0,30,1.0
36000,12,30,1.0
113000,16,30,1.0
20000,12,30,1.0
60000,12,30,1.0
45000,13,30,1.0
27900,13,30,1.0
108000,18,30,1.0
24000,13,30,1.0
20000,16,30,1.0
31300,13,30,1.0
40000,13,30,1.0
34000,13,30,1.0
40000,12,30,1.0
21000,12,30,1.0
15600,12,30,1.0
26000,5,30,1.0
18200,12,30,1.0
38000,16,30,1.0
30000,13,30,1.0
15000,6,30,1.0
18000,9,30,1.0
42000,14,30,1.0
12000,12,30,1.0
44000,14,30,1.0
25000,9,30,1.0
75000,14,30,1.0
30000,12,30,1.0
8000,12,30,1.0
37000,8,30,1.0
38000,12,30,1.0
30000,12,30,1.0
45000,13,30,1.0
40000,14,30,1.0
50000,12,30,1.0
55000,13,30,1.0
63000,13,30,1.0
40000,12,30,1.0
31000,14,30,1.0
37000,14,30,1.0
40000,13,30,1.0
45000,12,30,1.0
9500,14,30,1.0
24400,12,30,1.0
40000,16,30,1.0
160000,16,30,1.0
53000,18,30,1.0
