city,price
Davis,3.57
Davis,3.79
Davis,3.79
Davis,3.55
Davis,3.99
Davis,3.79
Davis,3.75
Davis,3.55
Davis,3.65
Davis,3.49
WestSacramento,3.79
WestSacramento,4.09
WestSacramento,3.79
WestSacramento,3.49
WestSacramento,3.65
WestSacramento,3.62
WestSacramento,3.65
WestSacramento,3.59
WestSacramento,3.59
WestSacramento,3.49
WestSacramento,3.79
WestSacramento,3.49
WestSacramento,3.75
WestSacramento,3.85
WestSacramento,3.49
Woodland,3.49
Woodland,3.59
Woodland,3.75
Woodland,3.69
Woodland,3.69
Woodland,3.49
Woodland,3.69
