price,size,bedrooms,bathrooms,lotsize,age,monthsold,list
204000,1400,3,2.0,1,31.0,7,199900
212000,1600,3,3.0,2,33.0,5,212000
213000,1800,3,2.0,2,51.0,4,219900
220000,1600,3,2.0,1,49.0,4,229000
224500,2100,4,2.5,2,47.0,6,224500
229000,1700,4,2.5,2,35.0,3,229500
230000,2100,4,2.0,2,34.0,8,239000
233000,1700,3,2.0,1,40.0,6,244500
235000,1700,4,2.0,2,29.0,7,245000
235000,1600,3,2.0,3,35.0,5,242000
236500,1600,3,2.0,3,23.0,8,239500
238000,1900,4,2.0,2,29.0,7,249000
239500,1600,3,2.0,3,34.0,6,239500
241000,1600,4,2.0,2,34.0,8,242500
244000,2000,4,2.0,1,29.0,7,249000
245000,1400,4,2.0,2,30.0,8,252000
249000,1900,4,3.0,3,37.0,6,235000
253000,2100,4,2.0,3,47.0,6,269000
255000,1500,4,2.0,3,47.0,7,240000
258500,1600,3,2.0,1,39.0,8,259900
270000,1800,4,2.0,3,31.0,3,263900
270000,2000,4,2.5,3,39.0,5,269000
272000,1800,4,2.5,2,46.0,3,279500
273000,1900,5,2.0,2,37.0,7,273000
278500,2600,6,2.0,3,38.0,8,280000
279900,2000,4,2.0,2,31.0,7,279900
310000,2300,4,2.5,2,28.0,5,315000
340000,2400,4,3.0,2,34.0,6,369900
375000,3300,4,2.5,2,39.0,3,386000
