price,size,bedrooms,bathrooms,daysonmarket,region
550000,1276,3,2.0,91,central
690000,2500,4,3.0,12,central
675000,1614,3,2.0,32,central
635000,1818,3,2.0,11,central
570000,1444,3,2.0,19,west
412000,1144,3,2.0,30,west
381000,1062,3,2.0,5,west
367500,969,2,1.0,70,east
470000,1258,3,2.0,7,east
432000,1023,3,2.0,60,east
545000,1739,3,2.5,22,east
410000,1000,3,1.0,11,east
453000,1288,3,2.0,10,east
455000,1234,3,2.0,6,east
427000,1209,3,2.0,4,east
669000,2364,4,2.5,5,east
487000,1480,3,2.5,7,east
500000,1606,3,2.0,3,east
421000,1136,3,2.0,8,east
916750,3495,5,3.0,196,south
527500,1650,4,3.0,103,south
1040000,2577,3,2.5,8,south
540000,1664,3,2.0,27,south
1090000,2876,4,2.5,10,south
424900,960,3,1.0,22,south
1165000,3255,5,3.0,5,south
907000,2870,4,3.0,6,south
281000,1016,2,1.5,113,north
810000,2745,4,2.5,9,north
609000,1891,3,2.0,21,north
215000,780,2,1.0,33,north
410000,1331,1,2.0,5,north
