state,y2003,y2005,y2007,y2009
Alabama,262,262,266,269
Alaska,279,279,283,283
Arizona,271,274,276,277
Arkansas,266,272,274,276
California,267,269,270,270
Colorado,283,281,286,287
Connecticut,284,281,282,289
Delaware,277,281,283,284
District of Columbia,243,245,248,254
Florida,271,274,277,279
Georgia,270,272,275,278
Hawaii,266,266,269,274
Idaho,280,281,284,287
Illinois,277,278,280,282
Indiana,281,282,285,287
Iowa,284,284,285,284
Kansas,284,284,290,289
Kentucky,274,274,279,279
Louisiana,266,268,272,272
Maine,282,281,286,286
Maryland,278,278,286,288
Massachusetts,287,292,298,299
Michigan,276,277,277,278
Minnesota,291,290,292,294
Mississippi,261,262,265,265
Missouri,279,276,281,286
Montana,286,286,287,292
Nebraska,282,284,284,284
Nevada,268,270,271,274
New Hampshire,286,285,288,292
New Jersey,281,284,289,293
New Mexico,263,263,268,270
New York,280,280,280,283
North Carolina,281,282,284,284
North Dakota,287,287,292,293
Ohio,282,283,285,286
Oklahoma,272,271,275,276
Oregon,281,282,284,285
Pennsylvania,279,281,286,288
Rhode Island,272,272,275,278
South Carolina,277,281,282,280
South Dakota,285,287,288,291
Tennessee,268,271,274,275
Texas,277,281,286,287
Utah,281,279,281,284
Vermont,286,287,291,293
Virginia,282,284,288,286
Washington,281,285,285,289
West Virginia,271,269,270,270
Wisconsin,284,285,286,288
Wyoming,284,282,287,286
